,idnum,p6k42_3_int,p6k42_4_int,p6k42_91_int,p6k42_101_int,p6k42_102_int,p6k42_103_int,p6k43_int,p6k44_int,p6k45_int,p6k46_int,p6k47_int,p6k49_1_int,p6k49_2_int,p6k49_3_int,p6k49_4_int,p6k49_91_int,p6k50_int,p6k50_code_pub_int,p6k51_int,p6k52_int,p6k53_int,p6k54_int,p6k55_int,p6k56_1_int,p6k56_2_int,p6k56_3_int,p6k56_4_int,p6k56_91_int,p6k57_int,p6k58_int,p6k59_int,p6k60_int,p6k61_int,p6k62_int,p6k63_int,p6k64_int,p6k65_int,p6k66_int,p6k67_int,p6k68_int,p6k69_int,p6k70_int,p6k71_int,p6k72_int,p6k73_int,p6k74_int,ck6kint_int,ck6intmon_int,ck6intyr_int,ck6tele_int,ck6source_int,ck6pcgrel_int,ck6yagey_int,ck6yagem_int,ck6mcrel_int,ck6fcrel_int,ck6livar_int,ck6drop_int,ck6ethrace_int,ck6conf1d_int,ck6conf2a_int,ck6conf2_int,ck6conf3_int,ck6conf6a_int,ck6conf7_int,ck6conf9a_int,ck6conf10_int,k6b1a_int,k6b1b_int,k6b1c_int,k6b1d_int,k6b2_int,k6b3_int,k6b4a_int,k6b4b_int,k6b4c_int,k6b4d_int,k6b4e_int,k6b4f_int,k6b4g_int,k6b5a_int,k6b5b_int,k6b5c_int,k6b6_int,k6b7_int,k6b8_int,k6b9_int,k6b10_int,k6b11_int,k6b12_int,k6b13_1_int,k6b13_2_int,k6b13_3_int,k6b13_4_int,k6b14_int,k6b15_int,k6b16_int,k6b17_int,k6b18_int,k6b19_int,k6b20a_int,k6b20b_int,k6b20c_int,k6b20d_int,k6b20e_int,k6b20f_int,k6b21a_int,k6b21b_int,k6b21c_int,k6b21d_int,k6b22a_int,k6b22b_int,k6b22c_int,k6b22d_int,k6b22e_int,k6b22f_int,k6b23_1_int,k6b23_2_int,k6b23_3_int,k6b24_int,k6b25_int,k6b26_int,k6b27_int,k6b28_int,k6b29_int,k6b30_int,k6b31a_int,k6b31b_int,k6b31c_int,k6b31d_int,k6b32a_int,k6b32b_int,k6b32c_int,k6b32d_int,k6b32e_int,k6b32f_int,k6c00aa_int,k6c00ab_int,k6c00ac_int,k6c00ad_int,k6c00ae_int,k6c00af_int,k6c00ag_int,k6c00ah_int,k6c00ai_int,k6c00aj_int,k6c00ak_int,k6c00al_int,k6c00am_int,k6c00an_int,k6c1_int,k6c2_int,k6c3_int,k6c4a_int,k6c4b_int,k6c4c_int,k6c4d_int,k6c4e_int,k6c5_int,k6c6a_int,k6c6b_int,k6c7a_int,k6c7b_int,k6c7c_int,k6c8_int,k6c9a_int,k6c9b_int,k6c9c_int,k6c9d_int,k6c9e_int,k6c9f_int,k6c10_int,k6c11_int,k6c12_int,k6c13_int,k6c14_int,k6c15_int,k6c16_int,k6c17_int,k6c18_int,k6c19a_int,k6c19b_int,k6c19c_int,k6c19d_int,k6c20_int,k6c21_int,k6c22_int,k6c23_int,k6c24_int,k6c25_int,k6c26_int,k6c27_int,k6c28_int,k6c29_int,k6c30a_int,k6c30b_int,k6c30c_int,k6c30d_int,k6c31_int,k6c32_int,k6c33_int,k6c34_int,k6c35a_int,k6c35b_int,k6c35c_int,k6c35d_int,k6c36_int,k6c37_int,k6c38_int,k6c39a_int,k6c39b_int,k6c39c_int,k6c39d_int,k6c40_int,k6c41_int,k6c42_int,k6c43_int,k6c44_int,k6c45_int,k6c46_int,k6c47_int,k6c48_int,k6c49_int,k6d1a_int,k6d1b_int,k6d1c_int,k6d1d_int,k6d1e_int,k6d1f_int,k6d1g_int,k6d1h_int,k6d1i_int,k6d1j_int,k6d1k_int,k6d1l_int,k6d2a_int,k6d2b_int,k6d2c_int,k6d2d_int,k6d2e_int,k6d2f_int,k6d2g_int,k6d2h_int,k6d2i_int,k6d2j_int,k6d2k_int,k6d2l_int,k6d2m_int,k6d2n_int,k6d2o_int,k6d2p_int,k6d2r_int,k6d2s_int,k6d2t_int,k6d2u_int,k6d2v_int,k6d2w_int,k6d2x_int,k6d2y_int,k6d2z_int,k6d2aa_int,k6d2ab_int,k6d2ac_int,k6d2ad_int,k6d2ae_int,k6d2af_int,k6d2ag_int,k6d2ah_int,k6d2ai_int,k6d2aj_int,k6d2ak_int,k6d3_int,k6d4_int,k6d5_int,k6d6_int,k6d7_int,k6d8_int,k6d9_int,k6d10_int,k6d11_int,k6d12_int,k6d13_int,k6d13a_int,k6d14_int,k6d15_int,k6d15a_int,k6d16_int,k6d17_int,k6d18_int,k6d18a_int,k6d19_int,k6d20_int,k6d20a_int,k6d21_int,k6d22_int,k6d23_int,k6d24_int,k6d25_int,k6d26_1_int
12,0013,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,161000.0,,2.0,2.0,,2.0,1.0,1.0,11000.0,7000.0,1.0,1.0,3000.0,1.0,80000.0,2.0,1.0,1.0,1.0,7.0,2015.0,1.0,1.0,1.0,15.0,182.0,1.0,2.0,2.0,,3.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,,,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,4.0,2.0,,2.0,2.0,2.0,1.0,4.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,,1.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,,,,,,1.0,1.0,,,,,,,,5.0,2.0,7.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,,,,,,,,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,,,,,4.0,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,,0.0,1.0,0.0,1.0,2.0,,1.0,,3.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,2.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,6.0,0.0,145.0,1.0,,,,5.0,30.0,1.0,10.0,30.0,2.0,5.0,9.0,0.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,1.0,120.0,0.0
13,0014,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,38000.0,,1.0,1.0,40.0,,1.0,1.0,16000.0,15000.0,1.0,1.0,900.0,1.0,8000.0,1.0,1.0,1.0,1.0,1.0,2014.0,1.0,1.0,1.0,15.0,184.0,1.0,2.0,3.0,,2.0,1.0,2.0,2.0,2.0,,,,,7.0,,,,,,,,,,,,,,,,1.0,0.0,7.0,1.0,1.0,2.0,2.0,,,,,,,7.0,,,,7.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,7.0,,,,,,,,7.0,,,,,,,1.0,,,,,,,,,,,,,2.0,,2.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,,30.0,,1.0,180.0,,2.0,2.0,3.0,1.0,4.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,,,,,,3.0,3.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0,8.0,195.0,1.0,,,,1.0,0.0,2.0,10.0,0.0,2.0,5.0,5.0,0.0,1.0,8.0,0.0,2.0,2.0,2.0,3.0,1.0,90.0,1.0
14,0015,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,65000.0,,2.0,1.0,300.0,,1.0,1.0,,,2.0,,,1.0,2000.0,2.0,2.0,,1.0,7.0,2015.0,1.0,1.0,1.0,16.0,192.0,1.0,2.0,3.0,,2.0,1.0,2.0,2.0,2.0,,,,,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,1.0,2.0,2.0,2.0,2.0,,3.0,3.0,2.0,2.0,1.0,10.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,,,,2.0,0.0,0.0,2.0,,1.0,1.0,2.0,3.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,,1.0,,,,,,,,,,,,,3.0,,3.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,2.0,,,,,,,,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,,3.0,,1.0,5.0,,2.0,2.0,3.0,3.0,3.0,2.0,4.0,,,,,,,,,,,,,,,2.0,,1.0,0.0,0.0,1.0,1.0,1.0,,,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,4.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,125.0,3.0,,,,6.0,30.0,1.0,10.0,0.0,2.0,3.0,9.0,0.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0,,60.0,1.0
15,0016,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,120000.0,,1.0,1.0,,,1.0,1.0,0.0,5000.0,1.0,1.0,4000.0,1.0,30000.0,2.0,1.0,1.0,1.0,8.0,2016.0,1.0,2.0,1.0,16.0,195.0,1.0,2.0,2.0,,2.0,1.0,2.0,2.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,2.0,,2.0,1.0,1.0,1.0,4.0,3.0,4.0,4.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,40.0,2.0,,2.0,,1.0,4.0,4.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,,1.0,,,,,,,,,,,,,4.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,,3.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,,0.0,10.0,2.0,,,4.0,4.0,3.0,2.0,3.0,3.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,3.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,0.0,5.0,5.0,173.0,2.0,1.0,13.0,,5.0,45.0,1.0,11.0,0.0,2.0,3.0,8.0,30.0,1.0,12.0,0.0,1.0,2.0,0.0,0.0,,30.0,0.0
17,0018,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,16223.0,,1.0,2.0,,2.0,1.0,1.0,0.0,,2.0,,,1.0,,2.0,2.0,,1.0,8.0,2015.0,1.0,1.0,1.0,15.0,185.0,1.0,2.0,3.0,,,1.0,2.0,2.0,2.0,,,,,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,2.0,,,,,1.0,3.0,2.0,3.0,2.0,,4.0,3.0,4.0,4.0,1.0,8.0,3.0,3.0,3.0,2.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,,1.0,5.0,3.0,2.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,5.0,,0.0,2.0,,3.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,,,,,,,,3.0,4.0,2.0,3.0,2.0,3.0,5.0,1.0,,6.0,,1.0,35.0,,1.0,2.0,3.0,2.0,3.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,0.0,2.0,1.0,1.0,,,2.0,2.0,3.0,1.0,3.0,3.0,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,4.0,,2.0,1.0,4.0,2.0,3.0,5.0,7.0,175.0,2.0,,,,8.0,0.0,1.0,9.0,30.0,2.0,5.0,8.0,0.0,1.0,1.0,30.0,1.0,1.0,1.0,5.0,1.0,20.0,1.0
18,0019,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,1.0,2.0,,2.0,2.0,,,,2.0,,,2.0,,2.0,2.0,,1.0,9.0,2014.0,1.0,1.0,1.0,15.0,182.0,1.0,3.0,2.0,,2.0,1.0,1.0,,1.0,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,2.0,,1.0,2.0,1.0,1.0,4.0,3.0,0.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,4.0,0.0,2.0,,2.0,,1.0,3.0,3.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,0.0,2.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,2.0,,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,2.0,3.0,2.0,3.0,3.0,3.0,,,,,,,,,,,,,,,5.0,4.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,1.0,1.0,0.0,3.0,0.0,2.0,1.0,,1.0,,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,,4.0,4.0,2.0,3.0,,5.0,6.0,120.0,3.0,,,,6.0,0.0,1.0,10.0,0.0,2.0,5.0,9.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,,1.0,0.0
20,0021,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,105000.0,,2.0,1.0,6000.0,,1.0,1.0,20000.0,17000.0,1.0,1.0,1200.0,1.0,10000.0,2.0,1.0,1.0,1.0,3.0,2015.0,1.0,1.0,1.0,15.0,177.0,1.0,1.0,1.0,,3.0,1.0,2.0,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,3.0,4.0,,4.0,1.0,9.0,2.0,1.0,2.0,1.0,0.0,4.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,,1.0,4.0,4.0,4.0,0.0,0.0,2.0,3.0,0.0,3.0,,,,1.0,,1.0,,,1.0,,,,,,1.0,,7.0,1.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,4.0,1.0,3.0,4.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,10.0,4.0,11.0,130.0,2.0,1.0,9.0,6.0,7.0,0.0,1.0,11.0,0.0,2.0,2.0,9.0,30.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,60.0,1.0
21,0022,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,9.0,2.0,2.0,,2.0,1.0,1.0,0.0,,1.0,1.0,,2.0,,2.0,1.0,1.0,1.0,2.0,2016.0,1.0,1.0,3.0,16.0,189.0,3.0,2.0,6.0,,2.0,3.0,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,,1.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,,1.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,4.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,1.0,,0.0,3.0,2.0,,,4.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,,,,,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,4.0,2.0,0.0,5.0,5.0,120.0,2.0,1.0,12.0,4.0,6.0,5.0,1.0,12.0,30.0,1.0,3.0,8.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,,120.0,1.0
22,0023,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,14000.0,,2.0,2.0,,2.0,1.0,1.0,0.0,2000.0,2.0,,,2.0,,2.0,2.0,,1.0,6.0,2015.0,1.0,1.0,1.0,15.0,182.0,1.0,2.0,3.0,,3.0,1.0,2.0,2.0,2.0,,,,,7.0,,,,,,,,,,,,,,,,1.0,0.0,2.0,1.0,1.0,2.0,2.0,,,,,1.0,3.0,7.0,,2.0,,1.0,3.0,2.0,1.0,7.0,,7.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,0.0,7.0,,,,2.0,2.0,3.0,1.0,7.0,,,,,,,,,,,1.0,,,,,,,,,4.0,,7.0,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,,,,,,,,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,,0.0,1.0,2.0,,,3.0,1.0,2.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,2.0,0.0,0.0,0.0,,,,,,2.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,4.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,4.0,115.0,2.0,1.0,14.0,,7.0,0.0,1.0,11.0,0.0,2.0,4.0,11.0,30.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,,30.0,0.0
23,0024,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,40000.0,,2.0,2.0,,2.0,1.0,1.0,0.0,5000.0,1.0,1.0,3000.0,2.0,,2.0,1.0,2.0,1.0,1.0,2015.0,1.0,1.0,1.0,16.0,187.0,1.0,2.0,3.0,,,1.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,3.0,1.0,3.0,0.0,3.0,3.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,35.0,2.0,,2.0,,2.0,2.0,3.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,,,,,,,,1.0,,,,,,,4.0,,6.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,,0.0,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,2.0,2.0,,,,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,5.0,5.0,120.0,2.0,1.0,11.0,0.0,6.0,30.0,1.0,10.0,30.0,2.0,2.0,8.0,30.0,1.0,12.0,0.0,1.0,1.0,2.0,0.0,4.0,90.0,1.0
24,0025,,,,,,,1.0,8.0,40.0,1.0,6400.0,,,,,,2.0,,,,,,,,,,,,26000.0,,1.0,1.0,5000.0,,2.0,,,,2.0,,,2.0,,2.0,2.0,,1.0,6.0,2015.0,1.0,1.0,1.0,16.0,190.0,1.0,2.0,3.0,,2.0,1.0,2.0,2.0,2.0,,,,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,3.0,4.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,,,,,3.0,4.0,2.0,3.0,1.0,9.0,3.0,2.0,4.0,3.0,1.0,8.0,3.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,8.0,24.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,,1.0,,,,,,,,,,,,,5.0,,7.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,,,,,,,,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,1.0,,2.0,,,3.0,4.0,2.0,2.0,1.0,1.0,4.0,,,,,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,3.0,2.0,3.0,,,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,3.0,1.0,1.0,4.0,4.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,2.0,0.0,5.0,4.0,127.0,1.0,,,,5.0,0.0,1.0,11.0,30.0,2.0,3.0,9.0,0.0,1.0,3.0,0.0,1.0,1.0,4.0,4.0,1.0,45.0,1.0
26,0027,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,1.0,1000.0,,2.0,,,,2.0,,,2.0,,2.0,2.0,,1.0,3.0,2015.0,1.0,1.0,1.0,16.0,187.0,1.0,2.0,3.0,,2.0,1.0,2.0,2.0,2.0,,,,,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,5.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,2.0,0.0,0.0,2.0,,2.0,,2.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,0.0,0.0,,1.0,,,,,,,,,,,,,4.0,,7.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,,1.0,,,,4.0,4.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,3.0,2.0,0.0,0.0,3.0,2.0,,,,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,4.0,3.0,0.0,5.0,4.0,,2.0,1.0,11.0,5.0,6.0,30.0,1.0,9.0,0.0,2.0,3.0,9.0,0.0,1.0,10.0,0.0,2.0,2.0,2.0,4.0,2.0,30.0,1.0
